SERIES TITLE,SUBSERIES TITLE,Institution,Location,subseries - date - single,subseries - date - range,FILE TITLE,Physical description - type,physical description - extent,physical description - dimensions,LINK,date type,date - single,date - range
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref8,,,
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref9,creation,1965,1965/1965
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref10,creation,1966,1966/1966
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref11,creation,1967,1967/1967
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref12,creation,1968,1968/1968
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),1 Sound discs (vinyl),"12""",,creation,1969,1969/1969
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref14,creation,1970,1970/1970
Published audiorecordings,"Camp Akiba: Reeders, Pennsylvania",Camp Akiba,"Reeders, Pennsylvania",,,Camp Akiba,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref510,creation,1971,1971/1971
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,The Sound of Allegro,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref511,creation,1967,1967/1967
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,The Sound of Allegro,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref16,creation,1968,1968/1968
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,Sounds of Allegro,Sound cassettes,2 Sound cassettes,"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref17,creation,1969,1969/1969
Published audiorecordings,"Camp Allegro in the Berkshires: Pittsfield, Massachusetts",Camp Allegro in the Berkshires,"Pittsfield, Massachusetts",,,"""Of Thee We Sing, Allegro""",Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref18,creation,1970,
Published audiorecordings,Alma Mater Recording Company,Alma Mater Recording Company,,,,Bugle Calls,Sound discs (vinyl),1 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref20,,,
Published audiorecordings,Alma Mater Recording Company,Alma Mater Recording Company,,,,Bugle Calls,Sound cassettes,1 Sound cassette,,,creation,1984,1984/1984
Published audiorecordings,"Belvoir Terrace: Lenox, Massachusetts",Belvoir Terrace,"Lenox, Massachusetts",,,Belvoir Terrace,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref23,,,
Published audiorecordings,"Belvoir Terrace: Lenox, Massachusetts",Belvoir Terrace,"Lenox, Massachusetts",,,,,,,,,,
