SERIES TITLE,SUBSERIES TITLE,FILE TITLE,LINK,DATE,SUBSERIES scope/contents,LOCATION
"Sound Recordings, 1/4"" tapes",JSO-1,,https://n2t.net/ark:/65665/bk5fc4e07b6-b134-4e92-a53c-ebd99ef4a0aa,1964,"Galax Fiddlers' Convention (Piney Mountain Boys: Kyle Creed, Earnest East, Paul Sutphin)",
"Sound Recordings, 1/4"" tapes",JSO-2 Misc. Galax,,https://n2t.net/ark:/65665/bk58d618b32-2821-40a9-844f-170572db4e95,1964,"Galax Fiddlers' Convention I. Scott Odell's son, Jay, singing and talking II. Hazel Jenkins, Alice Foster, Lamar Grier, Tracy Schwarz",
"Sound Recordings, 1/4"" tapes",JSO-3,,https://n2t.net/ark:/65665/bk54b05f9bd-6840-44bc-9458-bd159ab88f23,1964,"Galax, Va./ Beech Creek, NC, I. Kyle Creed II. Elisha Shelton with Peter Gott III. Frank Proffitt",
"Sound Recordings, 1/4"" tapes",JSO-4,,https://n2t.net/ark:/65665/bk501fb9b4a-0d41-413e-b9c6-3ddceb4ab23f,1965,Copies of J.C. Matthew's old records,
"Sound Recordings, 1/4"" tapes",JSO-5,,https://n2t.net/ark:/65665/bk5b7b25757-9d35-4c23-9af5-47354d106b95,1965,I. Hubert Caldwell On fiddle II. Velma Musser #1 on dulcimer,
"Sound Recordings, 1/4"" tapes",JSO-6,,https://n2t.net/ark:/65665/bk5d3ae2958-9ebc-4280-93be-53b681270c4f,1965,I. Burt Porter on fretless banjo II. Velma Musser #2 on dulcimer with Corbett Tipton on banjo,
"Sound Recordings, 1/4"" tapes",JSO-7,,https://n2t.net/ark:/65665/bk51a0ef10b-580f-4ac7-b18f-78129a7c7f09,1965,"Galax Dulcimers #1 Roscoe, Ruth, and Ray Melton; J. Ray Melton",
"Sound Recordings, 1/4"" tapes",JSO-8,,https://n2t.net/ark:/65665/bk5a3c95472-d011-4f86-9d6b-ebb243602df5,1965,Galax Dulcimers #2 I. Roscoe Russell and J. Ray Melton II. Raymond Melton on dulcimer,
"Sound Recordings, 1/4"" tapes",JSO-9,,https://n2t.net/ark:/65665/bk5e5a959ff-7214-4066-9c14-a2f8b196e63a,1965,Galax Dulcimers #3 Raymond Melton and Ruth Russell,"Galax, Va."
"Sound Recordings, 1/4"" tapes",JSO-10,,https://n2t.net/ark:/65665/bk56ae36d27-06e9-4e40-b9cf-3627bdc62cce,1965,"Kyle Creed #1 Kyle Creed, Roscoe Russell, Earnest East, Tal Smith, Raymond Burcham. Dub of Fiddlers' Convention",
"Sound Recordings, 1/4"" tapes",JSO-11,,https://n2t.net/ark:/65665/bk520618385-85f0-48bf-bb8e-d2eb3ae601b0,1965,"Kyle Creed #2 Kyle Creed, Roscoe Russell, Otis Burris",
"Sound Recordings, 1/4"" tapes",JSO-12,,https://n2t.net/ark:/65665/bk5f7a7eaf5-6dc9-46be-a4e4-06bd27948353,1965,"Mr. and Mrs. Solomon Mains l ,Dulcimer","Sparta, N.C."
"Sound Recordings, 1/4"" tapes",JSO-13,,https://n2t.net/ark:/65665/bk5d867afd8-bd9f-4cd0-9a35-c67825fd251f,1965,I. Mr. and Mrs. Solomon Mains II. Raymond Helton and Roscoe Russell at Kyle Creed's,"Sparta, N.C."
"Sound Recordings, 1/4"" tapes",JSO-14,,https://n2t.net/ark:/65665/bk5e00fbf99-6a82-4c05-a143-e5adaf5f4718,1965,I. Raymond Melton at Kyle Creed's II. Raymond Melton and Sid Meyers #1,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-15,,https://n2t.net/ark:/65665/bk54c668fda-56a9-46a2-a2a4-7a67247f8419,1965,Raymond Melton and Sid Meyers #2,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-16,,https://n2t.net/ark:/65665/bk5e0bed678-7d8f-497e-aedd-2e06b45cb507,1965,Raymond Melton and Sid Meyers #3,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-17,,https://n2t.net/ark:/65665/bk5a7554006-632d-482b-bdab-89c6c8e0cc1c,1965,"Roscoe Russell and Raymond Melton, Music and interview","Galax, VA"
"Sound Recordings, 1/4"" tapes",JSO-18,,https://n2t.net/ark:/65665/bk5b1fc9359-ba8b-4815-b553-8b905e4730ac,1966,Roscoe and Ruth Russell #1 Music and interview,"Oldtown, VA"
"Sound Recordings, 1/4"" tapes",JSO-19,,https://n2t.net/ark:/65665/bk56302f57e-34b2-488a-af2e-4245b2ac1449,1966,Roscoe and Ruth Russell #2,"Oldtown, VA"
"Sound Recordings, 1/4"" tapes",JSO-20,,https://n2t.net/ark:/65665/bk5a1aee600-1cdc-4ac6-8090-09b157d04ea9,1966,Roscoe and Ruth Russell #3,"Oldtown, VA"
"Sound Recordings, 1/4"" tapes",JSO-21,,https://n2t.net/ark:/65665/bk55f494df7-402a-4a9a-8be8-130ccb0b3d7c,1966,Roscoe Russell and Gus Meade,"Oldtown, VA"
"Sound Recordings, 1/4"" tapes",JSO-22,,https://n2t.net/ark:/65665/bk5982b16d9-1b59-4dd4-8af5-d6f081919ddc,1966,"Dugspur, Va. #1 Velma Musser, Corbett Tipton, Monroe Tipton","Dugspur, VA"
"Sound Recordings, 1/4"" tapes",JSO-23,,https://n2t.net/ark:/65665/bk5fbc52214-f7b3-41e1-84fa-83e6ece9bde7,1966,"Dugspur, Va. #2","Dugspur, VA"
"Sound Recordings, 1/4"" tapes",JSO-24,,https://n2t.net/ark:/65665/bk525a32fd2-4aa0-485c-bc23-30cf7b600738,1966,"Dugspur, Va. #3","Dugspur, VA"
"Sound Recordings, 1/4"" tapes",JSO-25,,https://n2t.net/ark:/65665/bk52d202a90-105f-4f99-b7f3-d53997e859bd,1966,"Dugspur, Va. #4","Dugspur, VA"
"Sound Recordings, 1/4"" tapes",JSO-26,,https://n2t.net/ark:/65665/bk556f903a6-767f-47e1-bcba-826b909324d1,1966,"Dugspur , Va. #5","Dugspur, VA"
"Sound Recordings, 1/4"" tapes",JSO-27,,https://n2t.net/ark:/65665/bk5f98cb2c6-d028-4817-a58b-d638376cf4e2,1966,Raymond Melton and Sid Meyers #1 Dulcimer and Banjo,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-28,,https://n2t.net/ark:/65665/bk5c00579fa-1b8f-4db2-a348-993dd72b214b,1966,Raymond Melton and Sid Meyers #2,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-29,,https://n2t.net/ark:/65665/bk56aa16991-eedd-495f-9275-8faf5674cac1,1966,Raymond Melton and Sid Meyers #3,"Five Forks, VA"
"Sound Recordings, 1/4"" tapes",JSO-30,,https://n2t.net/ark:/65665/bk5c075035f-0f10-4b1c-bdd6-0f83803f470b,1966,"Burt Porter, misc. music","Hadlyme, Conn."
"Sound Recordings, 1/4"" tapes",JSO-31,,https://n2t.net/ark:/65665/bk53e00eba0-08cd-4ea6-9cef-5a546e9ba0c8,1966,William Dale #1 Dulcimer,"Free Union, VA"
"Sound Recordings, 1/4"" tapes",JSO-32,,https://n2t.net/ark:/65665/bk52d167439-d38c-4739-ac6e-c59571719380,1966,William Dale #2,"Free Union, VA"
"Sound Recordings, 1/4"" tapes",JSO-33,,https://n2t.net/ark:/65665/bk51f2962df-95bf-48c5-bf23-14c2e8311f84,1966,"Galax Fiddlers' Convention Raymond Melton, Wade Ward, J. Edmunds, Roger Spring, Fred Cockerham and group","Galax, VA"
"Sound Recordings, 1/4"" tapes",JSO-34,,https://n2t.net/ark:/65665/bk571199ec8-b29d-4487-bc41-f8eb578e75ae,1966,Galax Fiddlers' Convention ill Kyle Creed and the Camp Creek Boys; Ike and Carlos Frost,"Galax, VA"
"Sound Recordings, 1/4"" tapes",JSO-35,,https://n2t.net/ark:/65665/bk5fe1251bb-ac79-45f2-823d-53cae6fc0cd2,1966,Galax Fiddlers' Convention #2 Ike Frost: with Chester Smith; George Pegram,"Galax, VA"
"Sound Recordings, 1/4"" tapes",JSO-36,,https://n2t.net/ark:/65665/bk587a67687-7a92-4c02-b910-dba27d2ca66a,1966,Raymond Melton and Sid Meyers at Ike Frosts' #1,"Woodlawn, VA"
