"","count","type","text_id","geometry","id"
"1",NA,"place","United States",c(-98.5795, 39.828175),1
"2",NA,"place","Washington, D.C.",c(-77.036666666667, 38.895),2
"3",NA,"place","California",c(-120, 37),3
"4",NA,"place","Chicago",c(-87.6277777777778, 41.8819444444444),4
"5",NA,"place","Texas",c(-100, 31),5
"6",NA,"place","New York",c(-75, 43),6
"7",NA,"place","Kentucky",c(-85, 37.5),7
"8",NA,"place","Indiana",c(-86.216666666667, 39.933333333333),8
"9",NA,"place","Massachusetts",c(-71.8, 42.3),9
"10",NA,"place","Great Britain",c(-2.4166666666667, 53.833333333333),10
"11",NA,"place","Vermont",c(-72.7, 44),11
"12",NA,"place","Scotland",c(-5, 57),12
"13",NA,"place","New Jersey",c(-74.5, 40),13
"14",NA,"place","Connecticut",c(-72.7, 41.6),14
"15",NA,"place","Virginia",c(-79, 37.5),15
"16",NA,"place","Tennessee",c(-86, 36),16
"17",NA,"place","Ireland",c(-8, 53),17
"18",NA,"place","Montreal",c(-73.5868411, 45.5033426),18
"19",NA,"place","Quebec",c(-72, 52),19
"20",NA,"place","Canada",c(-109, 56),20
"21",NA,"place","Louisiana",c(-92, 31),21
"22",NA,"place","Appalachia",c(-81, 38.8),22
"23",NA,"place","Mississippi",c(-90, 33),23
"24",NA,"place","West Virginia",c(-80.5, 39),24
"25",NA,"place","Springfield",c(-77.1794, 38.7886),25
"26",NA,"place","Springfield",c(-93.286111111111, 37.195),26
"27",NA,"place","Springfield",c(-72.483333333333, 43.297222222222),27
"28",NA,"place","Nova Scotia",c(-63, 45),28
"29",NA,"place","North Carolina",c(-80, 35.5),29
"30",NA,"place","Pennsylvania",c(-77.5, 41),30
"31",NA,"place","Ohio",c(-82.5, 40.5),31
"32",NA,"place","Rhode Island",c(-71.5, 41.7),32
"33",NA,"place","Illinois",c(-89.2502777777778, 40.0002777777778),33
"34",NA,"place","England",c(-1, 53),34
"35",NA,"place","Wilkesboro",c(-81.1625, 36.1425),35
"36",NA,"place","Oklahoma",c(-98, 35.5),36
"37",NA,"place","New Orleans",c(-90.0783333333333, 29.9761111111111),37
"38",NA,"place","Maryland",c(-76.7, 39),38
"39",NA,"place","Georgia",c(-83.5, 33),39
"40",NA,"place","Athens",c(-83.383055555556, 33.955277777778),40
"41",NA,"place","Athens",c(23.7280555555556, 37.9841666666667),41
"42",NA,"place","New York City",c(-74.0061111111111, 40.7127777777778),42
"43",NA,"place","Delaware",c(-75.5, 39),43
"44",NA,"place","Michigan",c(-85.58, 44.34),44
"45",NA,"place","Arkansas",c(-92.2, 34.8),45
"46",NA,"place","Richmond",c(-77.4366666666667, 37.5408333333333),46
"47",NA,"place","Richmond",c(-84.890555555556, 39.830277777778),47
"48",NA,"place","France",c(2, 47),48
"49",NA,"place","Nashville",c(-86.7744444444444, 36.1622222222222),49
"50",NA,"place","Deep Gap",c(-81.512222222222, 36.236944444444),50
"51",NA,"place","Los Angeles",c(-118.24368, 34.05223),51
"52",NA,"place","Alabama",c(-86.7, 32.7),52
"53",NA,"place","Italy",c(12.5, 42.5),53
"54",NA,"place","Wisconsin",c(-89.5, 44.5),54
"55",NA,"place","Hawaii",c(-158, 21.5),55
"56",NA,"place","Florida",c(-81.631666666667, 28.133333333333),56
"57",NA,"place","Louisville",c(-85.7513888888889, 38.2561111111111),57
"58",NA,"place","Saltville",c(-81.7608, 36.8736),58
"59",NA,"place","Eunice",c(-92.4169, 30.4936),59
"60",NA,"place","South Carolina",c(-81, 34),60
"61",NA,"place","Charleston",c(-79.9319444444444, 32.7833333333333),61
"62",NA,"place","Opelousas",c(-92.0815, 30.5335277777778),62
"63",NA,"place","Galax",c(-80.920275, 36.664675),63
"64",NA,"place","Maine",c(-69, 45.5),64
"65",NA,"place","Mexico",c(-102, 23),65
"66",NA,"place","Nigeria",c(8, 9),66
"67",NA,"place","Camden",c(-94.7344, 30.9172),67
"68",NA,"place","Camden",c(-75.1066, 39.9368),68
"69",NA,"place","Memphis",c(-89.971111111111, 35.1175),69
"70",NA,"place","Washington",c(-120.5, 47.5),70
"71",NA,"place","Iowa",c(-93, 42),71
"72",NA,"place","Greece",c(23, 38.5),72
"73",NA,"place","Austin",c(-97.733333333333, 30.3),73
"74",NA,"place","The Bahamas",c(-77.4, 25),74
"75",NA,"place","Detroit",c(-83.0475, 42.331666666667),75
"76",NA,"place","Brownsville",c(-89.260902, 35.590558),76
"77",NA,"place","Brownsville",c(-97.484444444444, 25.930277777778),77
"78",NA,"place","Cincinnati",c(-84.5125, 39.1),78
"79",NA,"place","Baltimore",c(-76.615, 39.286388888889),79
"80",NA,"place","Utah",c(-111.5, 39.5),80
"81",NA,"place","The Gambia",c(-15.5, 13.5),81
"82",29,"place/subject","Niger",c(10, 17),82
"83",NA,"place","Jos Plateau",c(9.0833, 9.5667),83
"84",NA,"place","Zawan 'A'",c(8.8638, 9.7583),84
"85",NA,"place","Kuru",c(8.85, 9.7166666666667),85
"86",NA,"place","Pankshin",c(9.431291, 9.327248),86
"87",NA,"place","Bwarat",c(9.80298, 9.18556),87
"88",NA,"place","Langtang",c(9.79101, 9.14164),88
"89",NA,"place","Plateau State",c(9.75, 9.1666666666667),89
"90",NA,"place","Ukraine",c(32, 49),90
"91",NA,"place","Poland",c(19, 52),91
"92",NA,"place","Sweden",c(15, 61),92
"93",NA,"place","Minnesota",c(-94, 46),93
"94",NA,"place","Armenia",c(44.95, 40.383333),94
"95",NA,"place","Bristol",c(-82.197489, 36.569135),95
"96",NA,"place","Hollywood",c(-118.326666666667, 34.0983333333333),96
"97",NA,"place","Dallas",c(-96.808888888889, 32.779166666667),97
"98",NA,"place","Arizona",c(-111.656944444444, 34.2866666666667),98
"99",NA,"place","Jalisco",c(-103.345833333333, 20.6763888888889),99
"100",NA,"place","San Antonio",c(-98.4938888888889, 29.425),100
"101",NA,"place","Visalia",c(-119.2925, 36.3302777777778),101
"102",NA,"place","Hamilton",c(-84.565, 39.395833333333),102
"103",NA,"place","Missouri",c(-92.5, 38.5),103
"104",NA,"place","St. Louis",c(-90.1994444444444, 38.6263888888889),104
"105",NA,"place","Rugby",c(-78.3278, 38.0139),105
"106",NA,"place","East St. Louis",c(-90.1575, 38.625),106
"107",NA,"place","Atlanta",c(-84.390277777778, 33.756944444444),107
"108",NA,"place","Grayson County",c(-81.23, 36.65),108
"109",NA,"place","Montana",c(-110, 47),109
"110",NA,"place","Knoxville",c(-83.9233333333333, 35.9616666666667),110
"111",NA,"place","Hazard",c(-83.195, 37.2486),111
"112",NA,"place","Asheville",c(-82.5519444444444, 35.5955555555556),112
"113",NA,"place","Minneapolis",c(-93.2691666666667, 44.9819444444445),113
"114",NA,"place","Charlotte",c(-80.843333333333, 35.226944444444),114
"115",NA,"place","Tucson",c(-110.92638888889, 32.221666666667),115
"116",NA,"place","St. George",c(-113.57805555556, 37.095277777778),116
"117",NA,"place","Champaign",c(-88.2436111111111, 40.1163888888889),117
"118",NA,"place","Columbia",c(-81.044166666667, 34.000555555556),118
"119",NA,"place","Clarksdale",c(-90.5702222222222, 34.2006388888889),119
"120",NA,"place","Keshena",c(-88.6289, 44.8781),120
"121",NA,"place","Central Unit",c(-95.6622, 29.6147),121
"122",NA,"place","James River Correctional Center",c(-77.8278, 37.6444),122
