"","names","avg_lat","avg_lon","count"
"1","Abbot_Francis H. (Francis Harris)_1877-1933",36.9091926878307,-85.8555631693122,21
"2","Abernathy_Will",37.3226260784314,-86.2185565424837,17
"3","Abshire_Nathan_1913-1981",35.8671102941176,-91.0939705882353,17
"4","Acuff_Charlie_1919-2013",38.2093916666667,-88.5265,3
"5","Acuff_Roy",36.8370921919192,-88.3306811111111,55
"6","Adams_Derroll",47.4153770833333,-44.2490416666667,4
"7","Addis_Bill",39.2093916666667,-86.6931666666667,3
"8","Akers_Robert",36.8303137152778,-81.9101835069445,16
"9","Alevizos_Ted",38.5,23,1
"10","Alexander_Charlie_ca. 1904-ca. 1970",33.6014287037037,-93.5526111111111,3
"11","Alexander_Stan",35.4140875,-99.28975,2
"12","Alexander_Texas_1900-1954",37.6778621527778,-89.622888888889,8
"13","Alger_Pat",41.623651,-82.5656666666667,3
"14","Allan_Johnnie_1938-",35.4140875,-95.28975,2
"15","Allen_Austin",37.3226260784314,-86.2185565424837,17
"16","Allen_Lee",37.3226260784314,-86.2185565424837,17
"17","Allen_Red",38.9140875,-91.5814166666667,12
"18","Allgood_S.J.",38.8,-81,1
"19","Altizer_Maude",39.7760583333333,-87.1931666666667,3
"20","Amaya_Carmen",40.2,-3.5,1
"21","Amoaku_W. K. (William Komla)_1940-",35.9157896551724,-86.195649329502,29
"22","Ancelet_Barry Jean",35.504635,-89.9632333333334,5
"23","Andersen_Eric",41.7093916666667,-81.7931666666667,3
"24","Anderson_Alistair",53,-1,1
"25","Angus_Tommy",49.0983333333333,-77.5566666666667,9
"26","Apollon_Dave",41.1803175925926,-82.528537037037,3
"27","Applebaum_Larry_Rinzler_Ralph",39.3615875,-87.8080833333335,2
"28","Appleton_Clyde",37.0574208333333,-105.118222222222,2
"29","Arceneaux_Fernest",40.6093916666667,-60.1931666666667,3
"30","Archuleta_Ricardo",30.1247481482222,-93.0231816014815,15
"31","Ardoin_Amadé",37.0303161395555,-89.7994260944445,50
"32","Ardoin_Morris",35.4140875,-95.28975,2
"33","Arias_A.",23.4464814814815,-103.303194444444,6
"34","Armstrong_Frankie",53.4166666666665,-1.70833333333335,2
"35","Armstrong_Joe",36.7760583333333,-87.0265,3
"36","Armstrong_Lil Hardin_1898-1971",33.6014287037037,-93.5526111111111,3
"37","Armstrong_Louis_1901-1971",34.3243957264957,-92.1254871794872,13
"38","Arnold_Eddy_1918-2008",39.0113466049383,-96.4666450617284,18
"39","Arnold_Kokomo",36.4140875,-92.66475,4
"40","Arthur_Charlie",44.20704375,-89.144875,4
"41","Arthur_Emry_1900-1966",36.2612665526316,-86.5285187339181,38
"42","Arwood_Little Joe",36.2697972222222,-87.3643888888889,9
"43","Asch_John",39.828175,-98.5795,1
"44","Asch_Moses",38.2992580555556,-90.2501277777778,10
"45","Ash_Samuel",38.9186365555556,-97.1658582222222,5
"46","Asher_William_Mrs.",37.8605601388889,-64.9943526388889,20
"47","Ashley_Bertha May",34.5713126666667,-90.1718035333333,3
"48","Ashley_Clarence_1895-1967",37.3398454264741,-87.2014496715203,277
"49","Ashley_John Henry",35.2484226,-91.15898212,5
"50","Askew_Alec",35.1377532407408,-91.4378407407407,6
"51","Astaire_Adele",41.1803175925926,-82.528537037037,3
"52","Astaire_Fred",41.1803175925926,-82.528537037037,3
"53","Atkins_Bobby",38.4521816666666,-85.7345733333334,5
"54","Atkins_Chet",37.0713841666667,-99.4545666666666,10
"55","Atwood_Kenneth",35.504635,-89.9632333333334,5
"56","Austin_Elizabeth",30.1247481482222,-93.0231816014815,15
"57","Austin_Lonnie_1905-1997",37.8014875146199,-85.0911602397661,19
"58","Austin_Morris_Mrs.",44.1393037878788,-77.5633888888889,11
"59","Autry_Gene_1907-1998",36.7939212222222,-89.7412551111111,25
"60","Avant_Jimmie",35.4140875,-99.28975,8
"61","Axton_Hoyt",37.6640875,-98.28975,2
"62","Azar_Joseph",33.833333,35.766667,1
"63","Baboyan_Reuben",38.0091690306514,-66.2447356130269,29
"64","Baca_Gil",40.303836111111,-61.387611111111,6
"65","Bachleda_Stanislav",37.1509915608466,-73.5260046031747,21
"66","Baez_Joan",39.0099441176471,-81.8221764705882,17
"67","Baez_Joan_Guthrie_Woody_1912-1967",37.6640875,-98.28975,2
"68","Bailey_DeFord",37.6975993055556,-88.0884861111111,4
"69","Bailey_Green",37.525635,-84.9159,5
"70","Baker_Belle",38.9186365555556,-97.1658582222222,5
"71","Baker_Bill",38.5823016666666,-84.5642333333334,10
"72","Baker_Etta_1913-2006",43.5586673611111,-49.5990324074074,12
"73","Baker_J. W.",38.7093916666667,-88.1931666666667,3
"74","Baker_J. W. Mrs.",38.7093916666667,-88.1931666666667,3
"75","Baker_James",32.233535440404,-91.4575244794613,33
"76","Baker_Josephine_1906-1975",47,2,2
"77","Baker_Kenny_1926-2011",38.5495267156862,-86.2401666666667,34
"78","Baker_Mose ""Clear Rock""",31.4400923722222,-91.6290507198413,14
"79","Baker_Willie",36.4140875,-91.03975,2
"80","Balfa_Dewey",36.5017935185185,-88.2556296296296,36
"81","Ball_E.C. (Estil Cortez)_1913-1978",36.7879419666667,-87.2894909444445,50
"82","Ball_Lenville",37.1784285407407,-86.7704681,30
"83","Ball_Orna_1907-2000",37.4814553535353,-86.0279759343434,22
"84","Balls_Ronnie",54.1333333333332,-2.36666666666668,5
"85","Banks_Ernest",38.2896694444444,-85.0053888888889,3
"86","Bankston_Emmett",37.2093916666667,-87.6931666666667,3
"87","Barbecue Bob_1902-1931",37.4251072222222,-89.9062611111111,10
"88","Barker_Horton_1889-1973",36.7772754507337,-87.3274035828093,53
"89","Barker_Red",37.8861354166666,-85.9065458333334,8
"90","Barnes_Brady_d. 1985",35.5944842592593,-88.4875185185187,3
"91","Barnes_Lucy",35.5944842592593,-88.4875185185187,3
"92","Barnicle_Mary Elizabeth_1891-1978",30.1247481482222,-93.0231816014815,15
"93","Barr_Alex_1910-1976",38.4730585866667,-90.5034771477777,30
"94","Barry_Margaret_1917-1989",52.8900925925925,-4.59069444444445,12
"95","Barry_Michael F.",37.9860192657005,-82.6719866135266,23
"96","Barthélemy_Alma",34.5742972222222,-94.5000634920635,7
"97","Barton_Elmer",37.8835794444445,-88.138483420139,32
"98","Barzas_Maurice",35.4140875,-95.28975,2
"99","Baschir_Munir",33,43,1
"100","Basquin_Peter",41.1803175925926,-82.528537037037,3
"101","Battle_Kathleen",41.1803175925926,-82.528537037037,3
"102","Baxter_Andrew",38.0091690306514,-66.2447356130269,29
"103","Baxter_Jim_musician",38.0091690306514,-66.2447356130269,29
"104","Baxter_L.P.",37.1509915608466,-73.5260046031747,21
"105","Bayes_Nora_1880-1928",39.6316225396825,-94.2012558730159,7
"106","Beasley_Walter",37.4115069166667,-90.0704501111111,20
"107","Beatrice",35.504635,-89.9632333333334,5
"108","Beaudoin_Louis",42.66829375,-78.2251618055555,4
"109","Beauregard_Nathan_ca. 1890-1970",36.9818916666667,-91.5168703703703,3
"110","Bechet_Sidney_1897-1959",34.9440817460317,-90.9022380952381,7
"111","Beck_Elder",37.5486165277778,-83.1656694444445,20
"112","Beck_Horace Palmer_1920-",39.065635,-83.0159,5
"113","Beeker_H.J.",36.7074425322997,-88.3088281266151,43
"114","Begley_Justis",36.19557138322,-86.5360276961451,49
"115","Behan_Dominic",53,-8,1
"116","Behan_Dominic (liner notes)",53,-8,1
"117","Bell_Arthur",32.8181777011696,-91.3311367233918,19
"118","Bell_Earlan",36.9818916666667,-91.5168703703703,3
"119","Bellard_Lindsay",35.4140875,-95.28975,6
"120","Benfield_Kenneth",36.2042428819444,-85.5598895833334,32
"121","Benfield_Neriah",36.2042428819444,-85.5598895833334,32
"122","Benford_Mac",38.303803968254,-98.2038650793657,7
"123","Bennett_Freeman",52.95,-75.6,3
"124","Bergeron_Shirley Jean",35.4140875,-95.28975,2
"125","Berggren_Dan",41.4140875,-86.78975,2
"126","Berline_Byron",43.0383642857143,-106.376952380953,7
"127","Bernard_Jean Marc",47,2,1
"128","Berry_Chuck",38.9848546296296,-93.7596481481481,6
"129","Beverett_Vernon",36.2640875,-92.63975,2
"130","Beverly_Bonnie",37.2119125,-84.3203833333333,6
"131","Bhairavi_Rag Sindhu",22.8,83,1
"132","Bhattachanrya_Deben",31.5315740740741,62.2842592592593,6
"133","Bikel_Theodore",44.7155613095238,-59.2967976190476,14
"134","Birchfield_Bill_1945-2015",37.3677707777778,-85.9548695555556,10
"135","Birchfield_Creed_1905-1998",37.3677707777778,-85.9548695555556,5
"136","Birchfield_Joe_1912-2001",37.3677707777778,-85.9548695555556,10
"137","Bird_Annie",38.9734921296296,-82.4309351851852,6
"138","Bird_William Ernest",36.9091926878307,-85.8555631693122,21
"139","Birigwa",1.28,32.39,1
"140","Blackwell_Scrapper_1903-1962",36.8309755555555,-90.7601488888889,10
"141","Blackwell_Willie (61)",36.3072646388888,-86.5571569444444,20
"142","Blake_Norman_1938-",37.769762037037,-89.4889074074074,6
"143","Blatti_Jo",41.4140875,-86.78975,2
"144","Blesh_Rudi_1899-1985",41.4140875,-86.78975,2
"145","Blevins_Frank_1911-2001",35.8361230555555,-85.5548111111111,10
"146","Blind Blake",36.0873521464646,-87.0813712121213,22
"147","Boardman_Harry_1930-1987",53.4166666666665,-1.70833333333335,2
"148","Bogan_Ted_1910-1990",36.58204375,-88.394875,4
"149","Boggs_Dock_1898-1971",37.3568643790849,-83.2894836601307,17
"150","Bois-sec",35.4140875,-95.28975,8
"151","Bolduc_Edouard_Mme._1894-1941",54,-90.5,4
"152","Bolick_Bill",36.3847686410256,-87.4551129729345,78
"153","Bolick_Earl",36.7022587578616,-87.3699820765199,106
"154","Bolick_Earl_Roosevelt_Franklin D. (Franklin Delano)_1882-1945",36.6880291666667,-87.26325,6
"155","Bolick_Glenn",37.6640875,-89.28975,2
"156","Bonet_Maria Del Mar",40.2,-3.5,3
"157","Bonner_Juke Boy_1932-1978",33.6248546296297,-99.2400185185187,3
"158","Bonner_Patrick",37.8835794444445,-88.138483420139,32
"159","Bonney_Betty",41.4140875,-86.78975,2
"160","Bonsall_Joe",35.4140875,-95.28975,2
"161","Booker_Jim",38.3416739814814,-85.304378712963,12
"162","Boone_Claude",35.5611364616488,-87.4665111917563,31
"163","Boone_Eva Grace",35.9547279239766,-88.6913478947369,19
"164","Borusky_Pearl Jacobs",40.1121457539682,-90.2107771785715,28
"165","Bot_Pam",10.0980692121212,9.31556190909091,11
"166","Botkin_Benjamin Albert_1901-1975",33.8217676333333,-89.0047286091503,34
"167","Bowie_James",54.611111111111,-2.80555555555557,3
"168","Bowlen_Charles",43.3018027777777,-90.4126900462964,12
"169","Bowles_Sam (Musician)",37.4115069166667,-90.0704501111111,20
"170","Bowman_Charlie",36.4292956944444,-85.50055,20
"171","Boyce_R.L.",35.1377532407408,-91.4378407407407,6
"172","Boyd_Annie Jewel",36.2640875,-92.63975,2
"173","Boyd_Bill_1910-1977",37.0497838768116,-87.3784871980677,46
"174","Boyd_Sandy",49.0983333333333,-77.5566666666667,12
"175","Boyens_Phyllis",38.59454375,-86.394875,8
"176","Boyle_Margaret",38.0379241319445,-111.981722222223,16
"177","Bradley_Jesse",31.4400923722222,-91.6290507198413,14
"178","Bradley_Sandy_1947-",38.3746131944445,-105.46188888889,4
"179","Brady_Paul",53,-8,1
"180","Brady_Rafe",38.042725,-86.5265,3
"181","Brand_Oscar",40.7397322916666,-86.4943958333334,8
"182","Brand_Oscar (liner notes)",41.4140875,-86.78975,2
"183","Brandon_Tom_1927-",51.5166666666666,-56.8599999999999,5
