"","subjects"
"1","Harmonica"
"2","Blues (Music)"
"3","Americans"
"4","African Americans"
"5",""
"6","Oral history"
"7","Documentary"
"8","Festival of American Folklife -- History"
"9","Radio programs"
"10","Folklore"
"11","Folklorists"
"12","Sound recordings -- Collectors and collecting"
"13","Office history"
"14","Festival of American Folklife"
"15","Western swing (Music)"
"16","Violin"
"17","Anglo-American"
"18","Jazz"
"19","Saxophone"
"20","Bluegrass music"
"21","Mandolin"
"22","British Isles -- Songs and music"
"23","Folk songs -- United States"
"24","Folksong revival"
"25","Guitar"
"26","Country music"
"27","Flute"
"28","Banjo"
"29","Accordion"
"30","Irish Americans"
"31","Pottery"
"32","Music -- Juvenile"
"33","Games"
"34","Sports"
"35","Schools"
"36","Cajun music"
"37","Cajuns"
"38","Meeting notes"
"39","Folklore -- Study and teaching"
"40","Popular music"
"41","British"
"42","Scottish Americans"
"43","World music"
"44","Yemeni"
"45","Indians"
"46","Israelis"
"47","Jamaicans"
"48","String band"
"49","Railroads"
"50","Cape Breton Island (N.S.) -- Songs and music"
"51","Breweries"
"52","Industries"
"53","Family life"
"54","Brewers"
"55","Civil rights"
"56","Piano"
"57","Theater"
"58","Spoken word"
"59","Dulcimer"
"60","United States -- History"
"61","Soviets"
"62","Russians"
"63","Japanese"
"64","Jewish"
"65","Cubans"
"66","Brazilians"
"67","Afro-Caribbean"
"68","Albanians"
"69","Migration"
"70","Slavery"
"71","Museum exhibits"
"72","Sea songs"
"73","Virgin Islands"
"74","Zydeco music"
"75","Old-time music"
"76","Folkways Records"
"77","Indians of North America"
"78","Cherokee"
"79","Fiddle tunes"
"80","Gospel music"
"81","Nueva cancion"
"82","Rock music"
"83","Aerophones"
"84","Panpipes"
"85","Peruvians"
"86","Shape-note singing"
"87","Ireland -- Songs and music"
"88","Penny whistle"
"89","Bouzouki"
"90","Spanairds"
"91","Autoharp"
"92","Ballads"
"93","Irish"
"94","Mouth bow"
"95","Lectures and lecturing"
"96","Ethnomusicology"
"97","Anthropology"
"98","South Africans"
"99","Popular music -- United States"
"100","French"
"101","Conjunto music"
"102","Hispanic Americans"
"103","Canadians"
"104","Mouth music"
"105","Vocals"
"106","World music -- Norway"
"107","Milling -- Songs and music"
"108","Airs"
"109","Milling"
"110","Crafts & decorating."
"111","Folk music -- North Carolina"
"112","Music"
"113","Topical songs"
"114","Maritime"
"115","Whaling"
"116","Songs"
"117","Pipe (Musical instrument)"
"118","Bagpipe"
"119","World music -- Finland "
"120","Finns"
"121","Koreans"
"122","Trumpet"
