"","bluegrass_people","bluegrass_places","blues_people","blues_places","country_people","country_places","folk_people","folk_places","jazz_people","jazz_places"
"1","Monroe_Bill_1911-1996","United States","Sayles_Charlie","United States","Rinzler_Ralph","United States","","United States","Dolphy_Eric","United States"
"2","Rinzler_Ralph","California","Rinzler_Ralph","Washington, D.C.","Carter_Maybelle_1909-1978","New York","Cantwell_Robert_1945-","California","","California"
"3","Jackson_John_1924-2002","New York","Monroe_Bill_1911-1996","Montreal","McGee_Kirk_1899-1983","New Jersey","Abrahams_Roger D.","Chicago","Harris_Bill_1925-1988","Washington, D.C."
"4","Williams_Bill_1897-1973","Kentucky","Jackson_John_1924-2002","Quebec","McGee_Sam_1894-1975","Connecticut","Seitel_Peter","Washington, D.C.","Apollon_Dave","Illinois"
"5","Stanley_Ralph","Indiana","Williams_Bill_1897-1973","Canada","Smith_Arthur_1898-1971","Virginia","Rinzler_Ralph","Eagle Rock","Reinhardt_Django_1910-1953","Tennessee"
"6","Herald_John","Montreal","Lightfoot_Bill","Kentucky","Jones_Ramona","Tennessee","Green_Archie","New York","Grappelli_Stéphane","Chicago"
"7","Cooke_Jack_1936-2009","Quebec","Leadbelly_1885-1949","Virginia","Watson_Doc","Massachusetts","Hunt_Marjorie_1954-","Louisiana","Rinzler_Ralph","New York"
"8","Kuykendall_Pete_1938-2017","Canada","Hurt_Mississippi John_1894-1966","New York","Scruggs_Earl","Appalachia","Seeger_Anthony","West Virginia","Vaughan_Sarah_1924-1990","New York City"
"9","Rinzler_Kate_1937-2010","Virginia","Cephas_John","Lorton","Clifford_Denny","North Carolina","Houston_Cisco","Nova Scotia","Hines_Earl_1903-1983","France"
"10","Dickens_Hazel_1935-2011","Coeburn","Wiggins_Phil","Louisiana","","Wilkesboro","Wilgus_D. K.","Canada","Gillespie_Dizzy_1917-1993","Paris"
"11","","Tennessee","Reagon_Toshi","Mississippi","Maddox_Rose","Oklahoma","Leadbelly_1885-1949","Great Britain","Knight_Lucille","Appalachia"
"12","Watson_Doc","West Virginia","Harris_Bill_1925-1988","Springfield","Jamieson_Robert Stuart_1922-2008","California","Dickens_Hazel_1935-2011","Cape Breton Island","Perkins_Mr.","Virginia"
"13","Scruggs_Earl","Washington, D.C.","Brown_Charles_1922-1999","Rhode Island","Monroe_Bill_1911-1996","Pennsylvania","Cotten_Elizabeth","Scotland","David_Lloyd","Indiana"
"14","Terry_Sonny","Pennsylvania","","Illinois","Stoneman_Ernest V.","Kentucky","Sayles_Charlie","North Carolina","Reagon_Bernice Johnson_1942-2024","Ragtime"
"15","Hartford_John","Philadelphia","Terry_Sonny","Tennessee","Seeger_Mike_1933-2009","Indiana","MacColl_Ewan","Pennsylvania","Ewitt_Don","Louisiana"
"16","Howard_Mark","Johnson City","Professor Longhair_1918-1980","Chicago","Wheeler_Billy Edd","Falls Church","Nicholas_General Custer_1895-1979","Philadelphia","Kirkpatrick_Frederick Douglass","New Orleans"
"17","Martin_Jimmy","Appalachia","Lockwood_Robert Jr._1915-2006","North Carolina","Driftwood_Jimmie","Arkansas","Clifford_Denny","Ohio","Blesh_Rudi_1899-1985","Scotland"
"18","McCoury_Del_1939-","North Carolina","House_Son","Indiana","Jones_George_1931-2013","Texas","Rinzler_Kate_1937-2010_Rinzler_Ralph","Tennessee","Sayles_Charlie","Great Britain"
"19","Beck_Horace Palmer_1920-","Wilkesboro","Felton_Ron","New Orleans","Smith_Connie_1941-","Louisiana","Nahwooksy_Clydia_1933-2009","Oklahoma","Hasse_John Edward_1948-","San Francisco"
"20","Britton_Maynard","Georgia","Stovall_Babe_1907-1974","Ohio","Smith_Blaine","Nashville","Nahwooksy_Fred","Maryland","Wasserman_Rob","Ohio"
"21","Pendleton_Silas","Rabun Gap","Wallace_Sippie","Rochester","Jones_Grandpa_1913-1998","Austin","Rinzler_Kate_1937-2010","Takoma Park","Scott_James_1885-1938","Berkeley"
"22","Stuart_Joe","Rhode Island","Watson_Doc","Cuba","Newman_Jimmy C.","France","Hutton_Bruce","Georgia","Roberts_Jay","New Jersey"
"23","Baker_Kenny_1926-2011","Maryland","Wilkins_Robert_1896-1987","California","Clark_Guy","Mississippi","Asch_John","Rabun Gap","Northup_Joseph","Camden"
"24","Keith_Bill_1939-2015","Musicians","Evans_Butch","Tollentown (Miss.)","Caranhac_Gilbert","Nova Scotia","Vowell_G. D.","New Hampshire","Danmark_Ribe","Galax"
"25","Rooney_Jim_1938-","Massachusetts","Parker_Knocky_1918-1986","Appalachia","Arthur_Charlie","Canada","Proffitt_Frank","Woodsville","Meyer_G.W.","Los Angeles"
"26","Greene_Richard_violinist","Cambridge","Williams_Robert Pete_1914-1980","Georgia","Lone Pine_Hal","Georgia","Seeger_Pete_1919-2014","Appalachia","Wenrich_Percy_1887-1952","Minnesota"
"27","Rowan_Peter_1942-","Nashville","Seeger_Mike_1933-2009","Texas","Cody_Betty","Alberta","Wikham_Lew","Kentucky","Fischler_H.A.","Saint Paul"
"28","Sheehan_Juanita","Los Angeles","Wise_Larry (Harmonica player)","Houston","Hill_Eddie","Hollywood","Mason_Tony","Harlan","Grisman_David","Richmond"
"29","Rosenbaum_Art","Oberlin","Thomas_Jesse_1911-1995","Shreveport","Hawkins_Hawkshaw_1921-1963","Arizona","Watson_Doc","New Mexico","McCoury_Del_1939-","Texas"
"30","Sheehan_Shorty","Ohio","Seeger_Peggy_1935-","Massachusetts","Snow_Hank","Meridian","Carlton_Gaither_1901-1972","Santa Fe","Byrd_Donald","Dallas"
"31","Monroe_James","Culpeper","Solseng_Ed","Deep Gap","Nelson_Willie_1933-","Alabama","Watson_Rosa Lee","Deep Gap","Ellington_Duke_1899-1974","Ukraine"
"32","Baez_Joan","New York City","Carr_Leroy_1905-1935","France","Rogers_Kenny","Norton","Ashley_Clarence_1895-1967","Virginia","Russell_Luis","Italy"
"33","Jamieson_Robert Stuart_1922-2008","Fincastle","Harpo_Slim_1924-1970","Newport, R.I.","Ledford_Lily May_1917-1985","West Virginia","Price_Fred_1915-1987","Los Angeles","Bechet_Sidney_1897-1959","Sicily"
