"","names"
"1","Sayles_Charlie"
"2","Cantwell_Robert_1945-"
"3","Green_Archie"
"4","Rinzler_Ralph"
"5","Hunt_Marjorie_1954-"
"6","Seeger_Anthony"
"7","Wills_Bob_1905-1975"
"8","Dolphy_Eric"
"9","Monroe_Bill_1911-1996"
"10","Kennedy_Norman_1934-"
"11","Houston_Cisco"
"12","Carter_Maybelle_1909-1978"
"13","McGee_Kirk_1899-1983"
"14","McGee_Sam_1894-1975"
"15","Smith_Arthur_1898-1971"
"16","Place_Jeffrey"
"17","Egan_Seamus_1970-"
"18","Jackson_John_1924-2002"
"19","Williams_Bill_1897-1973"
"20","Stanley_Ralph"
"21","Hart_Mickey"
"22","Kurin_Richard_1950-"
"23","LaRiche_Jeffrey"
"24","Seeger_Mike_1933-2009"
"25","Applebaum_Larry_Rinzler_Ralph"
"26","Forbes_Anthony and Will"
"27","Pitre_Austin"
"28","Wilgus_D. K."
"29","Leadbelly_1885-1949"
"30","Smith_Harry Everett_1923-1991"
"31","Ward_Wade"
"32","Carr_Kwetch"
"33","Cooke_Jack_1936-2009"
"34","Kuykendall_Pete_1938-2017"
"35","Rinzler_Kate_1937-2010"
"36","Hurt_Mississippi John_1894-1966"
"37","Jones_Ramona"
"38","Cephas_John"
"39","Wiggins_Phil"
"40","Dickens_Hazel_1935-2011"
"41","Reagon_Toshi"
"42","Harris_Bill_1925-1988"
"43","Cotten_Elizabeth"
"44","Blatti_Jo"
"45","Nicholas_General Custer_1895-1979"
"46","Carter_Jimmy_1924-_Carter_Jimmy_1924-"
"47","Watson_Doc"
"48","Scruggs_Earl"
"49","Rinzler_Kate_1937-2010_Rinzler_Ralph"
"50","Nahwooksy_Clydia_1933-2009"
"51","Nahwooksy_Fred"
"52","Terry_Sonny"
"53","Acuff_Charlie_1919-2013"
"54","Hartford_John"
"55","Howard_Mark"
"56","Martin_Jimmy"
"57","Professor Longhair_1918-1980"
"58","Hutton_Bruce"
"59","Cale_J.J."
"60","McCoury_Del_1939-"
"61","Barnes_Lucy"
"62","Mitchell_Fleeta"
"63","Mitchell_Nathaniel"
"64","Barnes_Brady_d. 1985"
"65","Apollon_Dave"
"66","Asch_John"
"67","Vowell_G. D."
"68","Frost_George"
"69","Mainer_Wade_1907-2011"
"70","Lockwood_Robert Jr._1915-2006"
"71","Proffitt_Frank"
"72","McCutcheon_Jack_1923-2001"
"73","McCormick_Mack"
"74","House_Son"
"75","Bellard_Lindsay"
"76","Falcon_Joe_1900-1965"
"77","Banks_Ernest"
"78","Beck_Horace Palmer_1920-"
"79","Britton_Maynard"
"80","Pendleton_Silas"
"81","Wikham_Lew"
"82","Stuart_Joe"
"83","Baker_Kenny_1926-2011"
"84","Keith_Bill_1939-2015"
"85","Rooney_Jim_1938-"
"86","Greene_Richard_violinist"
"87","Rowan_Peter_1942-"
"88","Carlton_Gaither_1901-1972"
"89","Watson_Rosa Lee"
"90","Ashley_Clarence_1895-1967"
"91","Price_Fred_1915-1987"
"92","Sheehan_Juanita"
"93","Rosenbaum_Art"
"94","Sheehan_Shorty"
"95","Ledford_Lily May_1917-1985"
"96","Morrison_Dan_1910-"
"97","MacLeod_Dan Kenny"
"98","Kerr_Alec"
"99","McLeod_Malcolm Angus"
"100","MacInnes_John Malcolm"
"101","MacDonald_Tom Angus"
"102","MacInnes_Christine MacDonald"
"103","Innes_John Malcolm"
"104","Currie_Peter"
"105","Gillis_Lorraine"
"106","Kennedy_Ronald"
"107","Kennedy_Ronald_Mrs."
"108","Morrison_Sandy Kenny"
"109","Angus_Tommy"
"110","Shaw_John"
"111","Samway_Josie"
"112","McGaishell_Murdoch"
"113","MacGaishell_Murdoch"
"114","MacAstrill_Murdoch"
"115","MacDonald_Dan"
"116","MacDonald_Ross"
"117","MacDowell_Lord"
"118","Carmichael_Buddy"
"119","Maddox_Rose"
"120","Monroe_James"
"121","Landreneau_Adam"
"122","Marcel-Dubois_Claudie"
"123","Baez_Joan"
"124","Jamieson_Robert Stuart_1922-2008"
"125","Stoneman_Ernest V."
"126","Havens_Richie"
"127","Hamilton_Diane_1925-1991"
"128","MacDonald_A. D."
"129","Boyd_Sandy"
"130","MacHeils_Stephen Rory"
"131","MacNeil_John Dan_Mrs."
"132","Glassie_Henry H."
"133","Rodríguez_Arsenio."
"134","Moré_Beny_1919-1963"
"135","Earle_Eugene"
"136","Vaughan_Sarah_1924-1990"
"137","Hines_Earl_1903-1983"
"138","Gillespie_Dizzy_1917-1993"
"139","Holcomb_Roscoe"
"140","Chairetakis_Anna L."
"141","Macon_Uncle Dave_1870-1952"
"142","Jones_Grandpa_1913-1998"
"143","Barthélemy_Alma"
"144","Emanuel_Leonard_1904-1982"
"145","Ritchie_Jean"
"146","White_Josh"
"147","Seeger_Pete_1919-2014"
"148","Shepherd_Dewey_1906-1996"
"149","Levy_Herbert"
"150","Rector_Red"
"151","Romaine_Anne"
"152","Jones_Bessie_1902-1984"
"153","Meaders_Cheever"
"154","Miller_William"
"155","Hewell_Harold"
"156","Cain_Paul"
"157","Martin_Edsel"
"158","Miles_Henry"
"159","Thomas_Keith"
"160","Strozier_Henry"
"161","Edmondson_Dian"
"162","Sewall_Jay"
"163","Soileau_Leo_1904-1980"
"164","Smith_Hobart_1897-1965"
"165","Riddle_Almeda"
"166","Ramsey_Emma"
"167","Davis_Jerome"
"168","Davis_John"
"169","Matthews_Carabel"
"170","Morrison_Henry"
"171","Burke_Bessie"
"172","Felton_Ron"
"173","Howard_Clint_1930-2011"
"174","Moore_Tommy"
"175","Johnson_Jack"
"176","Gilbert_Stella"
"177","Moore_Eva Ashley"
"178","Bird_Annie"
"179","Burchett_Jack"
"180","Watson_Arnold"
"181","Greer_Sophronie Miller"
"182","Rinzler_Richard"
"183","Watson_Annie"
"184","Watson_Merle"
"185","Greer_Dolly"
"186","Greer_Dwight"
"187","Greer_Tina"
"188","Yance_Stewart"
"189","Carlton_John"
"190","Collier_Jimmy"
"191","Reagon_Bernice Johnson_1942-2024"
"192","Walton_Ed"
"193","Molton_Norman"
"194","Sinclair_Robert"
"195","Thornton_James"
"196","Naquin_Edius_1901-1985"
"197","Fontenot_Isom J."
"198","DeVille_Aubrey"
"199","Manuel_Preston_1915-"
"200","Wiseman_Mac"
"201","Lyle_Rudy"
"202","Moody_Clyde_1917-1989"
"203","Smiley_Red_1925-1972"
"204","Martin_Benny"
"205","Grier_Lamar"
"206","Lester_Bobby"
"207","Robison_Gene"
"208","Lyle_Andy"
"209","Reno_Don"
"210","Richardson_Larry_banjo player"
"211","Edwards_Billy"
"212","Burris_Gene"
"213","Reno_Ronnie"
"214","Osborne_Sonny"
"215","MacColl_Ewan"
"216","Seeger_Peggy_1935-"
"217","Fusilier_Roy"
"218","Fontenot_Canray"
"219","Bois-sec"
"220","Balfa_Dewey"
"221","Fontenot_Bee_b. 1906"
"222","Meaders_Arie"
"223","Dorsey_Guy"
"224","Meaders_Lanier"
"225","Brown_Louis"
"226","Brown_Charles"
"227","Brown_Evan Javan"
"228","Carawan_Guy"
"229","Hamilton_Frank_1934-"
"230","Dees_David"
"231","Campbell_Sid"
"232","Rice_Bernie"
"233","Beverly_Bonnie"
"234","Burroughs_Gene"
"235","Grisman_David"
"236","Williams_Sam"
"237","Schiffler_George"
"238","Emerson_Bill"
"239","Martin_Timothy"
"240","Atkins_Bobby"
"241","Lineberger_Don_1929-2010"
"242","Tobert_Bill"
"243","Barker_Red"
"244","Stanley_Carter"
"245","Lowinger_Gene"
"246","Lusk_John_fiddler"
"247","Avant_Jimmie"
"248","Boyd_Annie Jewel"
"249","Franklin_E.F."
"250","Beverett_Vernon"
"251","Lawrence_J.C."
"252","Ransom_Vallie"
"253","Humphrey_J.J._Mrs."
"254","Williams_Dewey_1898-1995"
"255","Jackson_Japhus"
"256","Lawrence_T.Y."
"257","Harmon_Robert_1920-1999"
"258","Coffee_James"
"259","Isley_Ron"
"260","Goodwin_John"
"261","Caeser_Durel"
"262","Peshotels_Francis"
"263","Lair_John"
"264","Jenkins_Oscar"
"265","Jarrell_Tommy_1901-1985"
"266","Cockerham_Fred_1905-1980"
"267","Phipps_Sherman"
"268","Saletan_Tony"
"269","Rosmini_Dick"
"270","Stovall_Babe_1907-1974"
"271","Reese_Dock"
"272","Phelps_Harvey L."
"273","Wilkins_Robert_1896-1987"
"274","Seeger_Penny_1943-1993"
"275","MacArthur_George"
"276","Walters_Mrs."
"277","Nicolle_Arthur"
"278","Walters_Annie"
"279","Bennett_Freeman"
"280","Kennedy_Alec_Mrs."
"281","Kennedy_Archie"
"282","Gillis_Angus R."
"283","MacLellan_John L."
"284","Margaree_S. W."
"285","MacDowell_Alistair"
"286","Morrison_Annie Margaret"
"287","MacNeil_Iona Clay"
"288","MacNeil_Don P."
"289","MacNeil_S. R._b. 1897"
"290","MacNeil_S. R._Mrs."
"291","MacLeod_Effie"
"292","Kennedy_Archie_Mrs."
"293","Davis_Fred_Mrs."
"294","Riendeau_Henry_1929-"
"295","Riendeau_Louis_1900-1985"
"296","Riendeau_Lourier"
"297","Martin_Fidel"
"298","McDonald_Norman"
"299","Chávez_Alex J._1922-"
"300","Perkins_Mr."
"301","David_Lloyd"
"302","Kirkpatrick_Frederick Douglass"
"303","Ross_Mark"
"304","Knight_Lucille"
"305","Ewitt_Don"
"306","Evans_Butch"
"307","Vesey_John_1925-1995"
"308","Gorman_Michael_1895-1970"
"309","Heaney_Joe_1919-1984"
"310","Cook County Singing Convention (Chicago_Ill.)"
"311","Hopkins_Bill"
"312","Herald_John"
"313","Ripley_S. Dillon (Sidney Dillon)_1913-2001"
"314","Ashley_John Henry"
"315","Patterson_Joe"
"316","Turner_Hunt"
"317","Parker_Knocky_1918-1986"
"318","Williams_Robert Pete_1914-1980"
"319","Pyle_Pete"
"320","Redman_Willie_b. 1906"
"321","Blesh_Rudi_1899-1985"
"322","Ashley_Bertha May"
"323","Goodson_Pete"
"324","Wise_Larry (Harmonica player)"
"325","Cohen_John_1932-2019"
"326","Horton_Myles_1905-1990"
"327","Valiant_Margaret"
"328","Greer_Taft_1903-1986"
"329","Khan_Salamat Ali"
"330","Watson_Varney"
"331","Hembree_Mark"
"332","Morris_Zeke_1916-1999"
"333","Morris_Wiley_1919-1990"
"334","Kazee_Buell_1900-1976"
"335","Lomax_Alan_1915-2002"
"336","Kelly_Larry and Nancy Cole"
"337","Hulan_Richard H."
"338","Evans_Harry M._1925-2004"
"339","Thomas_Jesse_1911-1995"
"340","Logan_Tex"
"341","Harvey_Tom"
"342","Bolick_Glenn"
"343","Rogers_Gamble"
"344","Hausenfluck_Harold"
"345","Birchfield_Bill_1945-2015"
"346","Birchfield_Creed_1905-1998"
"347","Birchfield_Joe_1912-2001"
"348","Hamilton_Ward"
"349","MacDonald_Napthali Jacob"
"350","Landreneau_Cyp"
"351","Smith_Betty"
"352","York_Charles"
"353","Clark_Eliot"
"354","Guillette_Wilfred"
"355","Stuart_Marty"
"356","Wheeler_Billy Edd"
"357","Moore_L.C."
"358","Solseng_Ed"
"359","Carr_Leroy_1905-1935"
"360","Hebert_Adam_1923-2010"
"361","Bruce_Vin"
"362","Walker_Lawrence_1908-1968"
"363","Roger_Aldus"
"364","Barzas_Maurice"
"365","Abshire_Nathan_1913-1981"
"366","Marcotte_Marion"
"367","Bergeron_Shirley Jean"
"368","Richard_Belton"
"369","Harpo_Slim_1924-1970"
"370","Brown_Buster"
"371","Chenier_Clifton_1925-1987"
"372","Gray_Henry_1925-2020"
"373","Chavis_Boozoo_1930-2001"
"374","Rockin' Dopsie_1932-1993"
"375","Monroe_Charlie"
"376","Presley_Elvis_1935-1977"
"377","Emmy_Cousin_1903-1980"
"378","Stringbean_1915-1973"
"379","Driftwood_Jimmie"
"380","Jones_George_1931-2013"
"381","Taylor_James_1948-"
"382","Smith_Connie_1941-"
"383","Story_Carl"
"384","O'Day_Molly_1923-1987"
"385","Rodgers_Jimmy_Mrs."
"386","Clifton_Bill"
"387","Newman_Jimmy C."
"388","Allen_Red"
"389","Wakefield_Frank"
"390","Grupo Pescadores"
