from,to,person_count,from_label,to_label,from_type,to_type,geometry
1917,1,78,Sayles_Charlie,United States,person,place,"c(-87.0206735042737, 98.5795, 98.5795, -87.0206735042737, -87.0206735042737, 39.298067948718, 39.298067948718, 39.828175, 39.828175, 39.298067948718)"
1917,2,78,Sayles_Charlie,"Washington, D.C.",person,place,"c(-87.0206735042737, 77.036666666667, 77.036666666667, -87.0206735042737, -87.0206735042737, 39.298067948718, 39.298067948718, 38.895, 38.895, 39.298067948718)"
594,1,8,Cantwell_Robert_1945-,United States,person,place,"c(-98.1753680555556, 98.5795, 98.5795, -98.1753680555556, -98.1753680555556, 38.9701836805556, 38.9701836805556, 39.828175, 39.828175, 38.9701836805556)"
594,3,8,Cantwell_Robert_1945-,California,person,place,"c(-98.1753680555556, 120, 120, -98.1753680555556, -98.1753680555556, 38.9701836805556, 38.9701836805556, 37, 37, 38.9701836805556)"
594,4,8,Cantwell_Robert_1945-,Chicago,person,place,"c(-98.1753680555556, 87.6277777777778, 87.6277777777778, -98.1753680555556, -98.1753680555556, 38.9701836805556, 38.9701836805556, 41.8819444444444, 41.8819444444444, 38.9701836805556)"
986,3,1,Green_Archie,California,person,place,"c(-120, 120, 120, -120, -120, 37, 37, 37, 37, 37)"
1847,1,1367,Rinzler_Ralph,United States,person,place,"c(-79.4446928245713, 98.5795, 98.5795, -79.4446928245713, -79.4446928245713, 39.5208621022027, 39.5208621022027, 39.828175, 39.828175, 39.5208621022027)"
1157,1,2,Hunt_Marjorie_1954-,United States,person,place,"c(-87.8080833333335, 98.5795, 98.5795, -87.8080833333335, -87.8080833333335, 39.3615875, 39.3615875, 39.828175, 39.828175, 39.3615875)"
1847,2,1367,Rinzler_Ralph,"Washington, D.C.",person,place,"c(-79.4446928245713, 77.036666666667, 77.036666666667, -79.4446928245713, -79.4446928245713, 39.5208621022027, 39.5208621022027, 38.895, 38.895, 39.5208621022027)"
1157,2,2,Hunt_Marjorie_1954-,"Washington, D.C.",person,place,"c(-87.8080833333335, 77.036666666667, 77.036666666667, -87.8080833333335, -87.8080833333335, 39.3615875, 39.3615875, 38.895, 38.895, 39.3615875)"
1932,1,4,Seeger_Anthony,United States,person,place,"c(-87.8080833333335, 98.5795, 98.5795, -87.8080833333335, -87.8080833333335, 39.3615875, 39.3615875, 39.828175, 39.828175, 39.3615875)"
1932,2,4,Seeger_Anthony,"Washington, D.C.",person,place,"c(-87.8080833333335, 77.036666666667, 77.036666666667, -87.8080833333335, -87.8080833333335, 39.3615875, 39.3615875, 38.895, 38.895, 39.3615875)"
2266,3,77,Wills_Bob_1905-1975,California,person,place,"c(-85.7152202683982, 120, 120, -85.7152202683982, -85.7152202683982, 37.4830322294372, 37.4830322294372, 37, 37, 37.4830322294372)"
